gene.name	time	gene.regulation	mean
CHAF1A	600	down-regulated	-2.34972707776662
CHAF1A	720	down-regulated	-2.71518723035769
FAM83A	0	up-regulated	0
FAM83A	30	up-regulated	-0.059942660221705
FAM83A	60	up-regulated	0.157349483081975
FAM83A	120	up-regulated	0.3618356944292
FAM83A	180	up-regulated	0.53532882577543
FAM83A	240	up-regulated	0.843488592642467
FAM83A	300	up-regulated	1.24603534380557
FAM83A	360	up-regulated	1.40261283808166
FAM83A	420	up-regulated	1.81415098827803
FAM83A	480	up-regulated	1.81932785438808
FAM83A	600	up-regulated	2.65488088388954
FAM83A	720	up-regulated	2.3261839165582
ACSS2	0	up-regulated	0
ACSS2	30	up-regulated	0.253452445481239
ACSS2	60	up-regulated	0.376914692622789
ACSS2	120	up-regulated	0.194132059074921
ACSS2	180	up-regulated	0.147894661999312
ACSS2	240	up-regulated	0.571073838632142
ACSS2	300	up-regulated	0.726002074605658
ACSS2	360	up-regulated	0.757206223071447
ACSS2	420	up-regulated	1.17226834835279
ACSS2	480	up-regulated	1.67337663534679
ACSS2	600	up-regulated	1.93991207015874
ACSS2	720	up-regulated	2.93382214261483
CDC25A	0	down-regulated	0
CDC25A	30	down-regulated	0.0502671079708664
CDC25A	60	down-regulated	0.207348955177591
CDC25A	120	down-regulated	0.171980898816877
CDC25A	180	down-regulated	0.185963085712557
CDC25A	240	down-regulated	-0.0458661573414062
CDC25A	300	down-regulated	-0.43562534746298
CDC25A	360	down-regulated	-0.529451169910501
CDC25A	420	down-regulated	-1.48243271359225
CDC25A	480	down-regulated	-1.44248033365918
CDC25A	600	down-regulated	-2.08488159585321
CDC25A	720	down-regulated	-2.44094600771798
NEBL	0	up-regulated	0
NEBL	30	up-regulated	-0.123702042592504
NEBL	60	up-regulated	0.325041734159655
NEBL	120	up-regulated	0.256506904630648
NEBL	180	up-regulated	0.52741323145742
NEBL	240	up-regulated	0.739514274644605
NEBL	300	up-regulated	1.41421204189312
NEBL	360	up-regulated	1.86905238929555
NEBL	420	up-regulated	1.97236926262013
NEBL	480	up-regulated	1.64609318308644
NEBL	600	up-regulated	2.36043904090948
NEBL	720	up-regulated	2.50480777013591
ALOX15B	0	up-regulated	0
ALOX15B	30	up-regulated	0
ALOX15B	60	up-regulated	0.307705421975566
ALOX15B	120	up-regulated	0.254307517945099
ALOX15B	180	up-regulated	0.576697363529044
ALOX15B	240	up-regulated	0.671645511633218
ALOX15B	300	up-regulated	0.935353285600348
ALOX15B	360	up-regulated	1.75234121726649
ALOX15B	420	up-regulated	1.04009104944344
ALOX15B	480	up-regulated	1.68870871496352
ALOX15B	600	up-regulated	2.58946460857746
ALOX15B	720	up-regulated	2.67194523613924
VWA8	0	up-regulated	0
VWA8	30	up-regulated	0.0592927816301985
VWA8	60	up-regulated	0.296152659953459
VWA8	120	up-regulated	0.591358606639419
VWA8	180	up-regulated	0.583551464351278
VWA8	240	up-regulated	0.452918002111341
VWA8	300	up-regulated	0.774982074509494
VWA8	360	up-regulated	1.29820758613043
VWA8	420	up-regulated	1.36164602083611
VWA8	480	up-regulated	1.88975640000167
VWA8	600	up-regulated	2.57463501005963
VWA8	720	up-regulated	2.68442492300518
ADAMTSL4	0	up-regulated	0
ADAMTSL4	30	up-regulated	0.144920893237776
ADAMTSL4	60	up-regulated	0.301241660083242
ADAMTSL4	120	up-regulated	0.226904984266422
ADAMTSL4	180	up-regulated	0.44891752277621
ADAMTSL4	240	up-regulated	0.522351708599088
ADAMTSL4	300	up-regulated	1.06242072076346
ADAMTSL4	360	up-regulated	1.54647202067227
ADAMTSL4	420	up-regulated	1.41282433577987
ADAMTSL4	480	up-regulated	1.59536481192303
ADAMTSL4	600	up-regulated	2.48906213171749
ADAMTSL4	720	up-regulated	2.50673193580941
RFC4	0	down-regulated	0
RFC4	30	down-regulated	-0.163440978920698
RFC4	60	down-regulated	-0.493371174754849
RFC4	120	down-regulated	-0.0463609287443755
RFC4	180	down-regulated	-0.273177546659925
RFC4	240	down-regulated	-0.315755889167835
RFC4	300	down-regulated	-0.892163837970814
RFC4	360	down-regulated	-0.940750904158384
RFC4	420	down-regulated	-1.75419168669506
RFC4	480	down-regulated	-1.68024420411624
RFC4	600	down-regulated	-2.34530045599947
RFC4	720	down-regulated	-2.73514238401852
KCNH3	0	down-regulated	0
KCNH3	30	down-regulated	-0.228440331384158
KCNH3	60	down-regulated	-0.186642063132389
KCNH3	120	down-regulated	-0.486395358309361
KCNH3	180	down-regulated	-0.0679008602620577
KCNH3	240	down-regulated	-0.537406306094173
KCNH3	300	down-regulated	-0.936281208839626
KCNH3	360	down-regulated	-1.53135206460359
KCNH3	420	down-regulated	-1.70844023784986
KCNH3	480	down-regulated	-1.75228576822008
KCNH3	600	down-regulated	-2.34257967904098
KCNH3	720	down-regulated	-2.65462469781089
PRDX6	0	up-regulated	0
PRDX6	30	up-regulated	-0.0681547131948102
PRDX6	60	up-regulated	-0.0643426806033438
PRDX6	120	up-regulated	0.664442218838396
PRDX6	180	up-regulated	0.773524601275332
PRDX6	240	up-regulated	1.05405533832768
PRDX6	300	up-regulated	1.25926953421935
PRDX6	360	up-regulated	1.69444252553206
PRDX6	420	up-regulated	1.35551990496135
PRDX6	480	up-regulated	1.61969699497947
PRDX6	600	up-regulated	2.55551684438545
PRDX6	720	up-regulated	2.63217864782621
TONSL	0	down-regulated	0
TONSL	30	down-regulated	-0.243527846190545
TONSL	60	down-regulated	-0.580900962308436
TONSL	120	down-regulated	-0.5436900752161
TONSL	180	down-regulated	-0.547633506317204
TONSL	240	down-regulated	-1.0239076902623
TONSL	300	down-regulated	-1.20148794399607
TONSL	360	down-regulated	-1.37511078283051
TONSL	420	down-regulated	-1.71514082061227
TONSL	480	down-regulated	-1.76741225839925
TONSL	600	down-regulated	-2.60610454109372
TONSL	720	down-regulated	-2.82744787376917
PHF20L1	0	up-regulated	0
PHF20L1	30	up-regulated	-0.202147289385499
PHF20L1	60	up-regulated	-0.0899653886120688
PHF20L1	120	up-regulated	-0.317175988430712
